aeronave_tipo_veiculo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;total_fatalidades
AVIAO;BIMOTOR;TAXI AEREO;CRUZEIRO;DESTRUIDA;24
AVIAO;BIMOTOR;REGULAR;DECOLAGEM;DESTRUIDA;16
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;DESTRUIDA;14
AVIAO;BIMOTOR;TAXI AEREO;CIRCUITO DE TRAFEGO;SUBSTANCIAL;10
AVIAO;BIMOTOR;PARTICULAR;DESCIDA;DESTRUIDA;8
HELICOPTERO;MONOMOTOR;ADMINISTRACAO DIRETA;MANOBRA;DESTRUIDA;8
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;DESTRUIDA;8
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;7
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;7
AVIAO;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;DESTRUIDA;7
AVIAO;BIMOTOR;PARTICULAR;CIRCUITO DE TRAFEGO;DESTRUIDA;7
AVIAO;MONOMOTOR;AGRICOLA;DECOLAGEM;SUBSTANCIAL;6
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;6
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;6
AVIAO;BIMOTOR;TAXI AEREO;SUBIDA;DESTRUIDA;6
HELICOPTERO;BIMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;6
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;DESTRUIDA;6
AVIAO;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;5
AVIAO;MONOMOTOR;PARTICULAR;DESCIDA;SUBSTANCIAL;5
HELICOPTERO;BIMOTOR;TAXI AEREO;CRUZEIRO;DESTRUIDA;5
AVIAO;BIMOTOR;TAXI AEREO;DESCIDA;DESTRUIDA;5
HELICOPTERO;MONOMOTOR;MULTIPLA;CRUZEIRO;SUBSTANCIAL;5
AVIAO;MONOMOTOR;PARTICULAR;MANOBRA;DESTRUIDA;5
HELICOPTERO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;5
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;DESTRUIDA;5
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;5
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;5
HELICOPTERO;BIMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;5
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;5
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;SUBSTANCIAL;5
HELICOPTERO;BIMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;5
AVIAO;BIMOTOR;TAXI AEREO;DECOLAGEM;SUBSTANCIAL;5
AVIAO;MONOMOTOR;PARTICULAR;SUBIDA;DESTRUIDA;4
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;4
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;DESTRUIDA;4
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;4
AVIAO;MONOMOTOR;PARTICULAR;MANOBRA;DESTRUIDA;4
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;4
HELICOPTERO;MONOMOTOR;PARTICULAR;NAVEGACAO A BAIXA ALTURA;DESTRUIDA;4
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;4
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;4
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;4
AVIAO;MONOMOTOR;PARTICULAR;APROXIMACAO FINAL;SUBSTANCIAL;4
AVIAO;BIMOTOR;INSTRUCAO;DESCIDA;DESTRUIDA;4
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;4
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;4
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;4
AVIAO;BIMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;4
AVIAO;BIMOTOR;TAXI AEREO;CRUZEIRO;DESTRUIDA;4
AVIAO;BIMOTOR;TAXI AEREO;DECOLAGEM;DESTRUIDA;4
HELICOPTERO;MONOMOTOR;ADMINISTRACAO DIRETA;PAIRADO;DESTRUIDA;4
AVIAO;MONOMOTOR;PARTICULAR;DESCIDA;DESTRUIDA;4
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;4
AVIAO;MONOMOTOR;PARTICULAR;OUTRA FASE;SUBSTANCIAL;4
AVIAO;MONOMOTOR;TAXI AEREO;DECOLAGEM;DESTRUIDA;4
AVIAO;BIMOTOR;TAXI AEREO;APROXIMACAO FINAL;DESTRUIDA;4
HELICOPTERO;MONOMOTOR;ADMINISTRACAO DIRETA;ARREMETIDA NO AR;DESTRUIDA;4
AVIAO;MONOMOTOR;PARTICULAR;APROXIMACAO FINAL;SUBSTANCIAL;4
AVIAO;BIMOTOR;PARTICULAR;SUBIDA;DESTRUIDA;4
HELICOPTERO;BIMOTOR;TAXI AEREO;SUBIDA;DESTRUIDA;4
AVIAO;BIMOTOR;PARTICULAR;APROXIMACAO FINAL;SUBSTANCIAL;4
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;DESTRUIDA;3
HELICOPTERO;MONOMOTOR;ESPECIALIZADA;CRUZEIRO;SUBSTANCIAL;3
AVIAO;MONOMOTOR;INSTRUCAO;CRUZEIRO;DESTRUIDA;3
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;3
AVIAO;MONOMOTOR;PARTICULAR;ARREMETIDA NO AR;SUBSTANCIAL;3
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;3
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;3
AVIAO;MONOMOTOR;PARTICULAR;SUBIDA;DESTRUIDA;3
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;3
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;3
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;3
HELICOPTERO;MONOMOTOR;TAXI AEREO;CRUZEIRO;DESTRUIDA;3
AVIAO;BIMOTOR;PARTICULAR;OUTRA FASE;DESTRUIDA;3
AVIAO;BIMOTOR;PARTICULAR;SUBIDA;SUBSTANCIAL;3
AVIAO;BIMOTOR;PARTICULAR;SUBIDA;DESTRUIDA;3
AVIAO;BIMOTOR;PARTICULAR;SUBIDA;DESTRUIDA;3
AVIAO;BIMOTOR;PARTICULAR;INDETERMINADA;DESTRUIDA;3
HELICOPTERO;BIMOTOR;TAXI AEREO;DESCIDA;DESTRUIDA;3
AVIAO;BIMOTOR;TAXI AEREO;APROXIMACAO FINAL;DESTRUIDA;3
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;3
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;3
HELICOPTERO;MONOMOTOR;PARTICULAR;SUBIDA;SUBSTANCIAL;3
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;3
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;3
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;3
AVIAO;MONOMOTOR;TAXI AEREO;DECOLAGEM;DESTRUIDA;3
AVIAO;BIMOTOR;TAXI AEREO;NAVEGACAO A BAIXA ALTURA;DESTRUIDA;3
AVIAO;MONOMOTOR;PARTICULAR;DESCIDA;DESTRUIDA;3
AVIAO;BIMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;3
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;NAVEGACAO A BAIXA ALTURA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;2
ULTRALEVE;SEM TRACAO;EXPERIMENTAL;NAVEGACAO A BAIXA ALTURA;SUBSTANCIAL;2
ULTRALEVE;SEM TRACAO;EXPERIMENTAL;INDETERMINADA;DESTRUIDA;2
ULTRALEVE;SEM TRACAO;EXPERIMENTAL;CIRCUITO DE TRAFEGO;SUBSTANCIAL;2
AVIAO;BIMOTOR;TAXI AEREO;DESCIDA;SUBSTANCIAL;2
AVIAO;MONOMOTOR;AGRICOLA;INDETERMINADA;SUBSTANCIAL;2
AVIAO;MONOMOTOR;AGRICOLA;CIRCUITO DE TRAFEGO;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DESCIDA;SUBSTANCIAL;2
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;ESPECIALIZADA;SUBSTANCIAL;2
AVIAO;MONOMOTOR;ADMINISTRACAO DIRETA;MANOBRA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;2
AVIAO;MONOMOTOR;EXPERIMENTAL;INDETERMINADA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;APROXIMACAO FINAL;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;SUBIDA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CIRCUITO DE TRAFEGO;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;ARREMETIDA NO SOLO;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;DESTRUIDA;2
AVIAO;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;DESTRUIDA;2
AVIAO;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;2
AVIAO;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;INDETERMINADA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;INDETERMINADA;DESTRUIDA;2
AVIAO;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;2
AVIAO;MONOMOTOR;EXPERIMENTAL;MANOBRA;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;SUBIDA;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;NAVEGACAO A BAIXA ALTURA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;DECOLAGEM;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;NAVEGACAO A BAIXA ALTURA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;INDETERMINADA;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;OUTRA FASE;SUBSTANCIAL;2
ULTRALEVE;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;SUBSTANCIAL;2
AVIAO;MONOMOTOR;INSTRUCAO;INDETERMINADA;SUBSTANCIAL;2
AVIAO;MONOMOTOR;INSTRUCAO;DECOLAGEM;SUBSTANCIAL;2
HELICOPTERO;MONOMOTOR;INSTRUCAO;INDETERMINADA;NENHUM;2
HELICOPTERO;MONOMOTOR;INSTRUCAO;MANOBRA;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;INSTRUCAO;MANOBRA;DESTRUIDA;2
AVIAO;MONOMOTOR;INSTRUCAO;CIRCUITO DE TRAFEGO;NENHUM;2
HELICOPTERO;MONOMOTOR;INSTRUCAO;MANOBRA;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;INSTRUCAO;INDETERMINADA;DESTRUIDA;2
AVIAO;MONOMOTOR;INSTRUCAO;MANOBRA;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;CIRCUITO DE TRAFEGO;SUBSTANCIAL;2
AVIAO;MONOMOTOR;PARTICULAR;MANOBRA;DESTRUIDA;2
AVIAO;MONOMOTOR;EXPERIMENTAL;INDETERMINADA;DESTRUIDA;2
AVIAO;MONOMOTOR;EXPERIMENTAL;CRUZEIRO;DESTRUIDA;2
AVIAO;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUIDA;2
AVIAO;MONOMOTOR;INSTRUCAO;MANOBRA;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;INSTRUCAO;MANOBRA;DESTRUIDA;2
AVIAO;MONOMOTOR;INSTRUCAO;DESCIDA;DESTRUIDA;2
AVIAO;MONOMOTOR;INSTRUCAO;ARREMETIDA NO AR;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;SUBIDA;SUBSTANCIAL;2
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;2
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;PARTICULAR;DESCIDA;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;DESCIDA;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;ARREMETIDA NO SOLO;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;OUTRA FASE;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;2
AVIAO;MONOMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;2
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;INDETERMINADA;SUBSTANCIAL;2
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;ARREMETIDA NO AR;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;SUBIDA;SUBSTANCIAL;2
HELICOPTERO;MONOMOTOR;ESPECIALIZADA;CRUZEIRO;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
AVIAO;BIMOTOR;INSTRUCAO;CRUZEIRO;SUBSTANCIAL;2
AVIAO;BIMOTOR;INSTRUCAO;INDETERMINADA;DESTRUIDA;2
AVIAO;BIMOTOR;PARTICULAR;DESCIDA;DESTRUIDA;2
AVIAO;BIMOTOR;PARTICULAR;SUBIDA;DESTRUIDA;2
AVIAO;BIMOTOR;PARTICULAR;SUBIDA;DESTRUIDA;2
AVIAO;BIMOTOR;PARTICULAR;INDETERMINADA;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;SUBIDA;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;INDETERMINADA;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;2
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;INDETERMINADO;2
AVIAO;MONOMOTOR;PARTICULAR;INDETERMINADA;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
AVIAO;MONOMOTOR;PARTICULAR;ARREMETIDA NO AR;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUIDA;2
HELICOPTERO;MONOMOTOR;TAXI AEREO;CRUZEIRO;INDETERMINADO;2
